Latitude (decimal degrees): 31.200
Longitude (decimal degrees): 29.919
Elevation (m): 17.0
Irradiance Time Offset (h): 0.1561
month,year
1,2008
2,2010
3,2006
4,2018
5,2021
6,2012
7,2010
8,2012
9,2012
10,2016
11,2009
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20080101:0000,12.67,73.47,0.0,-0.0,0.0,294.93,2.56,109.0,101320.0
20080101:0100,12.29,76.01,0.0,-0.0,0.0,294.5,2.38,118.0,101290.0
20080101:0200,11.91,78.55,0.0,-0.0,0.0,294.07,2.21,132.0,101270.0
20080101:0300,11.54,81.1,0.0,-0.0,0.0,293.65,2.04,151.0,101270.0
20080101:0400,11.16,83.64,0.0,-0.0,0.0,293.22,1.87,178.0,101290.0
20080101:0500,10.78,86.18,0.0,0.0,0.0,292.79,1.69,189.0,101320.0
20080101:0600,10.41,88.73,171.0,514.92,64.0,292.36,1.52,194.0,101340.0
20080101:0700,10.03,91.27,256.0,231.14,171.0,291.94,1.35,209.0,101350.0
20080101:0800,15.25,58.35,485.0,754.89,116.0,294.35,2.14,215.0,101350.0
20080101:0900,16.71,50.75,526.0,593.48,192.0,293.75,2.14,227.0,101320.0
20080101:1000,17.62,47.3,543.0,576.47,206.0,300.95,2.34,242.0,101270.0
20080101:1100,18.19,44.05,589.0,900.92,91.0,300.15,2.62,254.0,101220.0
20080101:1200,18.41,44.05,484.0,845.62,87.0,301.9,2.97,263.0,101190.0
20080101:1300,18.34,44.05,327.0,737.38,76.0,300.75,3.1,266.0,101220.0
20080101:1400,17.94,45.55,130.0,418.79,57.0,299.75,2.97,264.0,101240.0
20080101:1500,17.0,47.3,0.0,-0.0,0.0,294.15,2.9,261.0,101300.0
20080101:1600,16.02,52.5,0.0,-0.0,0.0,292.2,2.97,253.0,101360.0
20080101:1700,15.27,56.25,0.0,-0.0,0.0,290.5,3.17,243.0,101400.0
20080101:1800,14.63,58.25,0.0,-0.0,0.0,288.95,3.45,235.0,101460.0
20080101:1900,14.33,62.55,0.0,-0.0,0.0,290.1,4.07,229.0,101370.0
20080101:2000,14.14,62.55,0.0,-0.0,0.0,290.3,4.55,228.0,101420.0
20080101:2100,14.08,62.55,0.0,-0.0,0.0,290.3,4.97,236.0,101440.0
20080101:2200,14.2,64.85,0.0,-0.0,0.0,292.2,5.31,246.0,101440.0
20080101:2300,14.48,62.65,0.0,-0.0,0.0,309.05,5.59,254.0,101430.0
20080102:0000,14.71,62.65,0.0,-0.0,0.0,319.1,5.86,257.0,101430.0
