record_type,policy,hour,h2_shortage_kg,affected_hours,p_fc_command_kW,p_fc_realized_kW,fc_hydrogen_limited,definition,realized_quantities_used_in_accounting
annual_summary,C1,,0.039745476893932374,23,,,,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
annual_summary,C2,,0.0,0,,,,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
annual_summary,C3,,0.0,0,,,,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,203,0.038659917573652496,,1.4921346359793135,0.5983820543728225,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,242,4.495577243801563e-10,,78.47029218424433,78.4702921777037,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,455,1.7763568394002505e-15,,83.38104827848004,83.38104827848,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,517,7.771561172376096e-16,,14.399228535320871,14.399228535320873,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,554,3.288997518779979e-09,,46.11096554781674,46.11096549472668,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,555,1.3929120320821175e-09,,5.1561535416417645e-08,0.0,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,621,7.326230508825082e-05,,7.730696208644974,7.72924958965589,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,1078,0.0003689118673220193,,47.02254388636866,47.0166222357106,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,1127,5.329070518200751e-15,,125.08177845476969,125.08177845476958,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,1338,0.0003754566367648593,,109.45372531832363,109.44883781896553,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,1461,0.00022981116479492414,,35.28319568759357,35.27935044484871,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,1605,5.6195492703636774e-11,,36.17899103199948,36.178991031063106,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,1798,8.881784197001252e-16,,39.25051439948287,39.25051439948286,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,1852,8.881784197001252e-16,,82.90749908782747,82.90749908782747,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,2188,1.7763568394002505e-15,,102.53745585047226,102.53745585047224,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,3123,1.013980011066451e-10,,127.9922344474003,127.99223444619378,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,3363,1.7763568394002505e-15,,97.85141008334404,97.85141008334402,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,3507,1.7763568394002505e-15,,143.22779430692773,143.2277943069277,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,3939,6.675549002466141e-12,,121.30715132437258,121.3071513242912,False,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
affected_hour,C1,4179,3.53761695492949e-08,,78.7660068815103,78.76600637825878,True,commanded PEMFC hydrogen demand minus mass physically allocable in replay after tank/allocation limits,True
