policy,component,start_USD,change_USD,end_USD
C1,Direct,0,-155195.143694,-155195.143694
C1,Battery wear,-155195.143694,57590.9220406,-97604.2216536
C1,PEMEL wear,-97604.2216536,10063.8207696,-87540.400884
C1,PEMFC wear,-87540.400884,171656.996286,84116.5954021
C1,Diagnostic total,0,84116.5954021,84116.5954021
C2,Direct,0,-108254.111545,-108254.111545
C2,Battery wear,-108254.111545,2527.11926284,-105726.992282
C2,PEMEL wear,-105726.992282,1505.82790803,-104221.164374
C2,PEMFC wear,-104221.164374,56.6090909091,-104164.555283
C2,Diagnostic total,0,-104164.555283,-104164.555283
C3,Direct,0,-98725.1531885,-98725.1531885
C3,Battery wear,-98725.1531885,2530.29271969,-96194.8604688
C3,PEMEL wear,-96194.8604688,1506.29674005,-94688.5637288
C3,PEMFC wear,-94688.5637288,113.218181818,-94575.345547
C3,Diagnostic total,0,-94575.345547,-94575.345547
